family,rank_block,no_candidate_count
v,1001_2000,97
n,1001_2000,96
adj,1001_2000,69
residual,1001_2000,22
pron,1001_2000,7
letter,1001_2000,5
adv,1001_2000,4
determiner,1001_2000,2
prep,1001_2000,2
interj,1001_2000,1
num,1001_2000,1
v,1_1000,86
n,1_1000,70
adj,1_1000,48
adv,1_1000,20
residual,1_1000,18
pron,1_1000,10
prep,1_1000,7
conj,1_1000,5
determiner,1_1000,3
interj,1_1000,3
num,1_1000,3
contraction,1_1000,2
letter,1_1000,2
prop,1_1000,1
n,2001_3000,114
v,2001_3000,112
adj,2001_3000,73
residual,2001_3000,26
letter,2001_3000,7
adv,2001_3000,6
determiner,2001_3000,3
pron,2001_3000,2
prop,2001_3000,2
interj,2001_3000,1
num,2001_3000,1
v,3001_4000,120
n,3001_4000,84
adj,3001_4000,73
residual,3001_4000,28
interj,3001_4000,6
determiner,3001_4000,4
adv,3001_4000,3
prop,3001_4000,3
pron,3001_4000,1
v,4001_5000,119
adj,4001_5000,75
n,4001_5000,74
residual,4001_5000,33
adv,4001_5000,2
interj,4001_5000,2
conj,4001_5000,1
determiner,4001_5000,1
pron,4001_5000,1
prop,4001_5000,1
v,outside_1_5000,13
n,outside_1_5000,9
adj,outside_1_5000,7
residual,outside_1_5000,3
