lemma,rank
de,1
que,2
la,3
no,4
a,5
el,6
y,7
en,8
es,9
un,10
lo,11
por,12
los,13
una,14
se,15
con,16
qué,17
me,18
para,19
las,20
del,21
te,22
su,23
pero,24
si,25
está,26
mi,27
al,28
sí,29
como,30
bien,31
más,32
eso,33
yo,34
le,35
aquí,36
tu,37
todo,38
ha,39
ya,40
o,41
esto,42
muy,43
esta,44
ahora,45
así,46
cuando,47
hay,48
este,49
algo,50
estoy,51
vamos,52
él,53
ser,54
bueno,55
nos,56
sus,57
fue,58
tengo,59
era,60
nada,61
tiene,62
sé,63
tú,64
cómo,65
vez,66
estás,67
sólo,68
ella,69
son,70
hacer,71
he,72
porque,73
todos,74
puedo,75
quiero,76
gracias,77
puede,78
dos,79
sin,80
soy,81
sobre,82
ese,83
estaba,84
también,85
tiempo,86
tan,87
entonces,88
creo,89
tienes,90
casa,91
usted,92
esa,93
voy,94
sabes,95
eres,96
verdad,97
hasta,98
solo,99
nunca,100
años,101
hace,102
va,103
hola,104
mucho,105
quién,106
mejor,107
vida,108
decir,109
mí,110
dónde,111
ni,112
están,113
favor,114
señor,115
hombre,116
oh,117
siempre,118
ver,119
uno,120
quieres,121
siento,122
había,123
dios,124
has,125
antes,126
día,127
desde,128
tenemos,129
poco,130
cosas,131
ti,132
otra,133
mismo,134
han,135
hecho,136
alguien,137
puedes,138
ahí,139
dijo,140
estar,141
entre,142
noche,143
trabajo,144
ir,145
después,146
mis,147
sea,148
acuerdo,149
otro,150
parece,151
donde,152
ellos,153
estamos,154
mundo,155
gente,156
nosotros,157
padre,158
estado,159
nadie,160
tal,161
les,162
parte,163
sido,164
momento,165
podría,166
menos,167
mira,168
quiere,169
fuera,170
gran,171
lugar,172
hablar,173
tener,174
tenía,175
tres,176
nuevo,177
pasa,178
vas,179
cada,180
claro,181
dinero,182
madre,183
mañana,184
sr.,185
tipo,186
hoy,187
días,188
luego,189
allí,190
mujer,191
nuestro,192
tanto,193
cosa,194
sabe,195
todas,196
haciendo,197
hijo,198
dice,199
seguro,200
podemos,201
debe,202
espera,203
vale,204
será,205
estas,206
toda,207
haber,208
tus,209
amigo,210
nuestra,211
buena,212
aún,213
quien,214
estos,215
nombre,216
tienen,217
veces,218
mamá,219
mal,220
buen,221
durante,222
papá,223
quería,224
dije,225
unos,226
pasado,227
forma,228
gusta,229
hizo,230
caso,231
contra,232
tarde,233
necesito,234
oye,235
alguna,236
hemos,237
cuenta,238
visto,239
conmigo,240
mientras,241
otros,242
realmente,243
hora,244
problema,245
crees,246
año,247
razón,248
primera,249
cierto,250
saber,251
dicho,252
hacerlo,253
mierda,254
pues,255
idea,256
mío,257
e,258
aunque,259
familia,260
hacia,261
amor,262
esos,263
pueden,264
importa,265
todavía,266
personas,267
policía,268
casi,269
contigo,270
cualquier,271
demasiado,272
ven,273
serio,274
algún,275
ve,276
nueva,277
eh,278
lado,279
manera,280
cabeza,281
hombres,282
historia,283
dentro,284
sería,285
salir,286
debería,287
van,288
ciudad,289
ustedes,290
muchas,291
poder,292
algunos,293
amigos,294
chica,295
mayor,296
sabía,297
chicos,298
hermano,299
esas,300
primer,301
país,302
vaya,303
agua,304
misma,305
veo,306
haces,307
camino,308
persona,309
iba,310
realidad,311
fin,312
importante,313
primero,314
digo,315
horas,316
semana,317
puerta,318
somos,319
pensé,320
bajo,321
muerte,322
problemas,323
punto,324
ah,325
pasó,326
quizá,327
buenas,328
supuesto,329
cuatro,330
da,331
mano,332
niños,333
volver,334
además,335
señora,336
cariño,337
ayuda,338
ojos,339
cinco,340
pasar,341
general,342
pronto,343
debo,344
minutos,345
sino,346
gobierno,347
