lemma,exclude_from_starter_dataset
mismo,true
cierto,true
mayor,true
mejor,true
menor,true
último,true
primero,true
segundo,true
único,true
propio,true
buena,true
buenos,true
nueva,true
buenas,true
llamado,true
conocido,true
entendido,true
debido,true
muerto,true
ok,true
próximo,true
total,true
absoluto,true
presente,true
santa,true
doble,true
mundial,true
fiscal,true
sé,true
ve,true
fui,true
oído,true
eras,true
fuiste,true
hacerlo,true
déjame,true
cállate,true
siéntate,true
hazlo,true
escúchame,true
verme,true
darle,true
